Song,Artist,Pack,Note Design,Level,CC,Notes,Note Design,Level,CC,Notes,Note Design,Level,CC,Notes,Note Design,Level,CC,Notes,Side,BPM,Version,Date,Version,Date,Original
Tutorial,ak+q,,,PST 1,0.0,173,,PRS 4,0.0,158,N/A,,,,N/A,,,,Light,128,1.0.5,17/3/8,N/A,,✓
Fairytale,chitose,Arcaea,Toaster,PST 1,1.0,336,Toaster,PRS 3,3.5,511,Toaster,FTR 7,7.0,782,Nitro in Wonderland,BYD 9,9.5,932,Light,189,1.0.5,17/3/8,3.0.0,20/5/27,
Sayonara Hatsukoi,REDSHiFT,Arcaea,Nitro,PST 1,1.5,205,Nitro,PRS 4,4.5,305,Toaster,FTR 7,7.0,666,Luxance + Exschwasion,ETR 8,8.5,728,Light,178,1.0.5,17/3/8,5.4.0,24/3/8,
Vexaria,ak+q,Arcaea,Nitro,PST 2,2.5,369,Nitro,PRS 5,5.0,534,Nitro,FTR 7,7.0,734,石樂,BYD 9,9.0,785,Light,180,1.0.5,17/3/8,3.0.0,20/5/27,
Rise,Combatplayer,Arcaea,Nitro,PST 2,2.5,322,Nitro,PRS 4,4.0,599,Nitro,FTR 7+,7.8,788,N/A,,,,Light,140,1.0.5,17/3/8,N/A,,
Babaroque,cYsmix,Arcaea,Toaster,PST 3,3.0,402,Toaster,PRS 6,6.5,645,Toaster,FTR 8,8.5,808,N/A,,,,Light,136,1.0.5,17/3/8,N/A,,
Lucifer,chitose,Arcaea,Nitro,PST 3,3.5,424,Nitro,PRS 5,5.5,506,Nitro,FTR 8,8.2,861,N/A,,,,Conflict,165,1.0.5,17/3/8,N/A,,
Shades of Light in a Transcendent Realm,ak+q,Arcaea,Nitro,PST 3,3.0,517,Nitro,PRS 6,6.0,789,Nitro,FTR 8,8.3,"1,067",N↑TRO,BYD 9,9.0,"1,042",Light,170,1.0.5,17/3/8,4.3.2,23/3/9,
Snow White,Puru,Arcaea,Toaster,PST 2,2.5,486,Toaster,PRS 5,5.0,672,Toaster,FTR 8,8.4,978,N/A,,,,Light,150,1.0.5,17/3/8,N/A,,
"GOODTEK
(Arcaea Edit)",EBIMAYO,Arcaea,Nitro,PST 4,4.0,449,Nitro,PRS 6,6.5,632,Nitro,FTR 9,9.3,968,GOODTOAST,BYD 9+,9.8,"1,103",Light,190,1.0.5,17/3/8,3.0.0,20/5/27,
Lost Civilization,Laur vs. CK,Arcaea,Toaster,PST 4,4.0,462,Toaster,PRS 7,7.0,690,Toaster,FTR 9,9.2,986,"Nitro Affected
by Nitro",BYD 9+,9.8,"1,061",Conflict,75-210,1.0.5,17/3/8,3.6.0,21/5/11,
I've heard it said,Combatplayer,Eternal Core,Toaster,PST 3,3.5,510,Toaster,PRS 6,6.0,664,Toaster,FTR 8,8.1,864,N/A,,,,Light,160,1.0.8,17/3/9,N/A,,
Lumia,sky_delta,Eternal Core,Nitro,PST 2,2.5,469,Nitro,PRS 5,5.5,438,Toaster missing Nitro.,FTR 8,8.4,961,Toaster.,BYD 9,9.5,814,Light,180,1.0.8,17/3/9,3.2.3,20/11/19,✓
Relentless,Akira Complex,Eternal Core,Nitro,PST 4,4.5,607,Nitro,PRS 6,6.5,722,Nitro,FTR 8,8.0,"1,015",N/A,,,,Conflict,174,1.0.8,17/3/9,N/A,,
cry of viyella,Laur,Eternal Core,Toaster,PST 3,3.5,414,Toaster,PRS 6,6.0,492,Toaster,FTR 8+,8.7,791,N/A,,,,Conflict,75-180,1.0.8,17/3/9,N/A,,
memoryfactory.lzh,Frums,Eternal Core,Nitro,PST 2,2.5,308,Nitro,PRS 5,5.5,448,Nitro,FTR 8+,8.9,672,N/A,,,,Light,100,1.0.8,17/3/9,N/A,,✓
Essence of Twilight,ak+q,Eternal Core,Nitro,PST 4,4.5,556,Nitro,PRS 7,7.0,767,Nitro,FTR 9,9.1,"1,204",N/A,,,,Conflict,164,1.0.8,17/3/9,N/A,,✓
PRAGMATISM,Laur,Eternal Core,東星,PST 4,4.5,476,東星,PRS 8,8.6,855,東星,FTR 10,10.1,942,N/A,,,,Light,174,1.0.8,17/3/9,N/A,,✓
Sheriruth,Team Grimoire,Eternal Core,夜浪,PST 5,5.5,611,夜浪,PRS 7+,7.5,832,夜浪,FTR 10,10.1,"1,151",N/A,,,,Conflict,185,1.0.8,17/3/9,N/A,,✓
qualia -ideaesthesia-,nitro,Arcaea,-chartaesthesia-,PST 4,4.5,550,-chartaesthesia-,PRS 7,7.0,875,-chartaesthesia-,FTR 9,9.1,"1,022",moonquay -end of chartaesthesia-,BYD 9+,9.7,"1,288",Conflict,144,1.0.8,17/3/9,3.10.0,21/12/9,
"Dement
~after legend~",Cosmograph,Arcaea,Toaster,PST 3,3.5,548,Toaster,PRS 6,6.0,756,Toaster,FTR 7+,7.8,970,Nitro ~ABYSS~,BYD 9+,9.9,"1,040",Conflict,210,1.0.9,17/3/20,3.1.0,20/8/21,
Dandelion,Farhan,Arcaea,Nitro,PST 2,2.5,391,Nitro,PRS 6,6.0,698,Nitro,FTR 8,8.5,921,N/A,,,,Light,169,1.0.9,17/3/20,N/A,,
Infinity Heaven,HyuN,Arcaea,Nitro,PST 1,1.5,336,Nitro,PRS 5,5.5,545,Nitro,FTR 7+,7.8,853,Nitr∞,BYD 9,9.6,986,Light,160,1.0.10,17/4/12,3.0.0,20/5/27,
Anökumene,Jun Kuroda,Arcaea,Toaster,PST 2,2.5,412,Toaster,PRS 6,6.5,588,Toaster,FTR 9,9.2,851,N/A,,,,Conflict,186,1.0.10,17/4/12,N/A,,
Paradise,Sound Souler,Crimson Solace,Nitro,PST 1,1.0,253,Nitro,PRS 4,4.0,349,Nitro,FTR 7+,7.8,729,N/A,,,,Light,126,1.0.11,17/5/11,N/A,,✓
Flashback,ARForest,Crimson Solace,Nitro,PST 2,2.0,356,Nitro,PRS 5,5.0,488,Nitro,FTR 8+,8.9,856,N/A,,,,Light,195,1.0.11,17/5/11,N/A,,✓
"Flyburg
and Endroll",アリスシャッハと魔法の楽団,Crimson Solace,N,PST 3,3.0,413,N,PRS 6,6.0,650,N-Helix,FTR 9,9.0,930,N/A,,,,Light,180,1.0.11,17/5/11,N/A,,✓
Party Vinyl,モリモリあつし,Crimson Solace,Party Toaster,PST 4,4.0,337,Party Toaster,PRS 7+,7.8,543,Party Toaster,FTR 9,9.4,800,Party Exschwasion,BYD 10,10.1,946,Light,132,1.0.11,17/5/11,4.1.6,22/12/22,✓
Nirv lucE,しーけー,Crimson Solace,東星※紅空,PST 2,2.5,297,東星※紅空,PRS 7,7.0,547,東星※紅空,FTR 10,10.3,980,N/A,,,,Light,260,1.0.11,17/5/11,N/A,,✓
Brand new world,U-ske,Arcaea,Nitro 2.0,PST 2,2.0,322,Nitro 2.0,PRS 4,4.0,432,Nitro 2.0,FTR 7+,7.8,787,N/A,,,,Light,160,1.0.11,17/5/11,N/A,,
Chronostasis,黒皇帝,Arcaea,Kurorak,PST 3,3.5,619,Kurorak,PRS 7,7.5,812,Kurorak,FTR 8+,8.9,916,N/A,,,,Conflict,196,1.1.0,17/6/2,N/A,,
"Kanagawa
Cyber Culvert",南ゆに,Arcaea,Nitro,PST 1,1.0,375,Nitro,PRS 5,5.5,707,Nitro,FTR 9,9.0,"1,111",Exschwas↓on,BYD 9+,9.8,"1,121",Light,180,1.1.0,17/6/2,3.10.0,21/12/9,
CROSS†SOUL,HyuN feat. Syepias,Memory Archive: Variety,k//eternal,PST 4,4.0,606,k//eternal,PRS 7,7.0,823,k//eternal,FTR 9,9.4,"1,081",N/A,,,,Conflict,200,1.1.0,17/6/2,N/A,,
DataErr0r,Cosmograph,Memory Archive: Variety,ToastErr0r,PST 3,3.0,502,ToastErr0r,PRS 7,7.0,785,ToastErr0r,FTR 9,9.5,955,N/A,,,,Conflict,180,1.1.0,17/6/2,N/A,,
"Your voice so...
feat. Such",PSYQUI,Memory Archive: Variety,Nitro,PST 3,3.5,469,Nitro,PRS 6,6.5,677,Nitro,FTR 9,9.4,"1,013",N/A,,,,Light,176,1.1.0,17/6/2,N/A,,
"Moonlight of
Sand Castle",旅人E,Dynamix,Kurorak,PST 1,1.5,418,Kurorak,PRS 5,5.0,394,Kurorak,FTR 7+,7.8,645,N/A,,,,Light,160,1.1.2,17/6/23,N/A,,
REconstruction,Ryazan,Dynamix,Nitro,PST 2,2.5,347,Nitro,PRS 6,6.0,469,Nitro,FTR 8,8.4,825,N/A,,,,Light,180,1.1.2,17/6/23,N/A,,
"Evoltex
(poppi'n mix)",Arch vs. n3pu,Dynamix,k//eternal,PST 2,2.0,297,k//eternal,PRS 7,7.0,627,k//eternal,FTR 8+,8.9,775,N/A,,,,Light,205,1.1.2,17/6/23,N/A,,
Oracle,TQ☆,Dynamix,Nitro,PST 3,3.0,425,Nitro,PRS 5,5.5,508,Nitro,FTR 9,9.3,963,N/A,,,,Conflict,152,1.1.2,17/6/23,N/A,,
αterlβus,Aoi,Dynamix,τoastεr,PST 4,4.0,505,τoastεr,PRS 7,7.5,668,τoastεr,FTR 10,10.2,"1,030",N/A,,,,Conflict,202,1.1.2,17/6/23,N/A,,
"Clotho and
the stargazer",しーけー,Arcaea,小東星,PST 2,2.0,519,小東星,PRS 5,5.0,745,小東星,FTR 7+,7.8,"1,021",eién,ETR 8+,8.8,"1,031",Light,230,1.1.2,17/6/23,5.4.0,24/3/8,
Ignotus,ak+q,Arcaea,Toaster,PST 3,3.5,579,Toaster,PRS 6,6.5,809,Toaster,FTR 9,9.3,"1,225",N/A,,,,Conflict,170,1.1.3,17/7/18,N/A,,✓
Impure Bird,MIssionary,Memory Archive: Original,Kurorak,PST 2,2.0,350,Kurorak,PRS 5,5.5,518,Kurorak,FTR 9,9.4,805,N/A,,,,Light,184,1.1.3,17/7/18,N/A,,✓
Blossoms,T2Kazuya,Ambivalent Vision,Nitro,PST 1,1.0,275,Nitro,PRS 4,4.0,383,Nitro,FTR 7,7.0,655,N/A,,,,Light,138,1.1.4,17/8/10,N/A,,✓
Romance Wars,U-ske (feat. lueur),Ambivalent Vision,Kurorak,PST 1,1.0,423,Kurorak,PRS 4,4.0,378,Kurorak,FTR 7+,7.8,641,N/A,,,,Light,187,1.1.4,17/8/10,N/A,,✓
Genesis,Iris,Ambivalent Vision,Haruba,PST 2,2.0,275,Haruba,PRS 5,5.5,399,Haruba,FTR 8,8.2,713,N/A,,,,Conflict,132,1.1.4,17/8/10,N/A,,✓
Moonheart,翡乃イスカ,Ambivalent Vision,Toaster,PST 2,2.5,449,Toaster,PRS 5,5.5,566,Toaster,FTR 8,8.4,947,Toaster,BYD 9+,9.7,"1,139",Light,180,1.1.4,17/8/10,3.4.1,21/1/8,✓
Lethaeus,Silentroom,Ambivalent Vision,夜浪,PST 3,3.5,480,夜浪,PRS 6,6.5,717,夜浪,FTR 9+,9.7,900,N/A,,,,Conflict,155,1.1.4,17/8/10,N/A,,✓
"Harutopia
~Utopia of Spring~",A-zu-ra,Arcaea,"トーストピア
~Utopia of Toast~",PST 1,1.0,444,"トーストピア
~Utopia of Toast~",PRS 4,4.5,706,"トーストピア
~Utopia of Toast~",FTR 8,8.5,"1,061",N/A,,,,Light,185,1.1.4,17/8/10,N/A,,
Auxesia,ginkiha,Memory Archive: Partner,Nitroだー！！,PST 3,3.5,385,Nitroだー！,PRS 6,6.5,648,Nitroだー！,FTR 9,9.3,"1,000",N/A,,,,Light,183,1.1.4,17/8/10,N/A,,✓
"Rabbit In The
Black Room",Rabbit House,Arcaea,Toaster,PST 2,2.5,373,Toaster,PRS 5,5.5,467,Toaster,FTR 8,8.4,772,N/A,,,,Conflict,270,1.1.6,17/9/25,N/A,,
Modelista,HiTECH NINJA,Memory Archive: Original,NITRO,PST 3,3.5,418,NITRO,PRS 7,7.5,691,NITRO,FTR 10,10.0,"1,010",N/A,,,,Light,165,1.1.6,17/9/25,N/A,,✓
Iconoclast,Yamajet,Vicious Labyrinth,Toaster,PST 4,4.0,443,Toaster,PRS 7,7.0,593,Toaster,FTR 9,9.1,795,N/A,,,,Conflict,140,1.5.0,17/11/3,N/A,,✓
SOUNDWiTCH,HATE,Vicious Labyrinth,NiTRO,PST 3,3.5,315,NiTRO,PRS 6,6.5,488,NiTRO,FTR 9+,9.9,785,N/A,,,,Conflict,170,1.5.0,17/11/3,N/A,,
conflict,siromaru + cranky,Vicious Labyrinth,Toaster,PST 4,4.5,520,Nitro,PRS 7,7.5,731,toaster + nitro,FTR 10,10.2,"1,056",N/A,,,,Conflict,160,1.5.0,17/11/3,N/A,,
"trappola
bewitching",gmtn.,Vicious Labyrinth,Kurorak,PST 3,3.0,415,Kurorak,PRS 6,6.0,541,k//urorak,FTR 10,10.0,"1,044",NITRO -mesmerize-,BYD 10,10.5,"1,086",Conflict,190,1.5.0,17/11/3,4.3.0,23/3/2,✓
Axium Crisis,ak+q,Vicious Labyrinth,The Monolith,PST 5,5.5,685,The Monolith,PRS 8,8.5,"1,065",The Monolith,FTR 10+,10.7,"1,094",N/A,,,,Conflict,170,1.5.0,17/11/3,N/A,,✓
Grievous Lady,"Team Grimoire
vs. Laur",Vicious Labyrinth,迷路第一層,PST 6,6.5,956,迷路第二層,PRS 9,9.3,"1,194",迷路深層,FTR 11,11.3,"1,450",N/A,,,,Conflict,210,1.5.0,17/11/3,N/A,,✓
One Last Drive,REDSHiFT,Arcaea,Toaster,PST 2,2.5,604,Toaster,PRS 5,5.5,564,Toaster,FTR 8,8.2,885,N/A,,,,Light,154-175,1.5.0,17/11/3,N/A,,
Dreamin' Attraction!!,翡乃イスカ,Arcaea,Nitro,PST 4,4.5,592,Nitro,PRS 7,7.0,785,Nitro,FTR 9,9.4,"1,129",N/A,,,,Light,205,1.5.0,17/11/3,N/A,,
Red and Blue,Silentroom,Arcaea,-chartaesthesia- RED side,PST 4,4.0,464,side BLUE -chartaesthesia-,PRS 7+,7.8,597,-chartaesthesia- LEFT=BLUE RED=RIGHT,FTR 9,9.4,845,N/A,,,,Conflict,150,1.5.0,17/11/3,N/A,,✓
Surrender,void,Memory Archive: Music Game,Nitro,PST 3,3.0,550,Nitro,PRS 6,6.5,721,Nitro,FTR 8+,8.8,925,N/A,,,,Light,152,1.5.2,17/11/24,N/A,,
Yosakura Fubuki,A.SAKA,Memory Archive: Music Game,k//eternal,PST 4,4.5,416,k//eternal,PRS 7,7.0,582,k//eternal,FTR 9,9.4,931,N/A,,,,Light,172,1.5.2,17/11/24,N/A,,
Reinvent,Sound Souler,Arcaea,k//eternal,PST 2,2.5,570,k//eternal,PRS 6,6.5,703,k//eternal + nitro,FTR 8,8.5,852,N/A,,,,Light,174,1.5.3,17/12/21,N/A,,
Syro,Mitomoro,Arcaea,Toaster,PST 3,3.5,535,Toaster,PRS 6,6.5,829,Toaster,FTR 9,9.3,"1,150",N/A,,,,Light,178,1.5.3,17/12/21,N/A,,✓
Dream goes on,Tiny Minim,Lanota,k//eternal,PST 1,1.5,532,k//eternal,PRS 5,5.0,751,k//eternal,FTR 7+,7.8,719,N/A,,,,Light,174,1.5.5,18/2/1,N/A,,
Journey,ARForest,Lanota,Kurorak,PST 3,3.0,551,Kurorak,PRS 6,6.0,778,Kurorak,FTR 9,9.1,997,N/A,,,,Light,200,1.5.5,18/2/1,N/A,,
Quon,Feryquitous,Lanota,Nitro,PST 4,4.0,547,Nitro,PRS 6,6.5,718,Nitro,FTR 9,9.6,991,N/A,,,,Light,189,1.5.5,18/2/1,N/A,,✓
Specta,Junk,Lanota,Toaster,PST 3,3.5,390,Toaster,PRS 6,6.5,706,Toaster,FTR 9,9.5,"1,096",N/A,,,,Light,179,1.5.5,18/2/1,N/A,,
cyanine,jioyi,Lanota,夜浪 - Apocalypse,PST 4,4.0,661,夜浪,PRS 7+,7.8,947,夜浪,FTR 10,10.6,"1,171",N/A,,,,Conflict,182,1.5.5,18/2/1,N/A,,
Metallic Punisher,INNOCENT NOIZE,Memory Archive: Partner,Kurorak,PST 3,3.0,500,Kurorak,PRS 7,7.0,846,Black Tea,FTR 10,10.3,"1,238",N/A,,,,Conflict,165,1.5.6,18/2/16,N/A,,✓
Blaster,Massive New Krew,Arcaea,k//eternal,PST 4,4.0,571,k//urorak,PRS 7,7.0,635,k//urorak,FTR 9,9.3,"1,002",N/A,,,,Conflict,180,1.5.7,18/3/9,N/A,,✓
Silent Rush,Soleily,Binary Enfold,TaroNuke,PST 2,2.5,416,TaroNuke,PRS 5,5.0,674,TaroNuke,FTR 8,8.6,941,N/A,,,,Conflict,158,1.6.0,18/3/23,N/A,,✓
next to you,uma feat. 橘花音,Binary Enfold,Nitro,PST 4,4.5,454,Nitro,PRS 7,7.0,583,Nitro,FTR 8+,8.8,824,Toastie,BYD 9,9.6,954,Light,165,1.6.0,18/3/23,3.6.0,21/5/11,✓
Strongholds,Yooh,Binary Enfold,TaroNuke,PST 2,2.5,570,TaroNukeΔ,PRS 5,5.0,778,TΔroNuke,FTR 9,9.2,922,N/A,,,,Conflict,105,1.6.0,18/3/23,N/A,,✓
Memory Forest,ETIA.,Binary Enfold,Kurorak,PST 3,3.5,639,Kurorak,PRS 6,6.0,726,Kurorak,FTR 9+,9.8,978,N/A,,,,Light,178,1.6.0,18/3/23,N/A,,✓
Singularity,ETIA.,Binary Enfold,東星,PST 4,4.5,534,東星,PRS 7+,7.8,678,東星※コラプサー,FTR 10+,10.7,"1,105",N/A,,,,Conflict,175,1.6.0,18/3/23,N/A,,✓
Ignotus Afterburn,"Arcaea
Sound Team",Arcaea,N/A,,,,N/A,,,,"《WARNING》 TaroNuke vs
Arcaea Charting Team",FTR ?,0.0,"1,028",Toaster × 石樂,BYD 9+,9.9,"1,077",Conflict,170,1.6.1,18/4/1,3.12.2,22/3/9,✓
carmine:scythe,かゆき,Memory Archive: Partner,週刊Toaster,PST 4,4.0,493,週刊Toaster,PRS 7+,7.8,710,週刊Toaster,FTR 9,9.6,"1,164",N/A,,,,Conflict,165,1.6.2,18/4/29,N/A,,✓
γuarδina,Aoi,Memory Archive: Original,τoastεr,PST 4,4.0,507,τoastεr,PRS 8,8.0,678,τoastεr,FTR 10,10.4,"1,120",N/A,,,,Light,202,1.6.2,18/4/29,N/A,,✓
Cybernecia Catharsis,Tanchiky,Arcaea,Kero,PST 4,4.0,377,Kero,PRS 7,7.0,655,Kero + Nitro,FTR 9,9.5,946,antymis,BYD 9+,9.8,991,Conflict,184,1.6.4,18/6/1,5.3.0,24/1/25,✓
Be There,PSYQUI,Memory Archive: Original,Nitro,PST 4,4.0,592,Nitro,PRS 7,7.5,792,Be Nitro,FTR 9,9.4,982,N/A,,,,Light,164,1.6.4,18/6/1,N/A,,✓
inkar-usi,DIA,Arcaea,Kurorak,PST 2,2.0,276,Kurorak,PRS 4,4.0,326,Kurorak,FTR 7+,7.8,463,CERiNG,BYD 9,9.4,857,Light,102,1.6.6,18/6/22,5.3.0,24/1/25,✓
"Call My Name
feat. Yukacco",Mameyudoufu,Memory Archive: Variety,Kurorak,PST 3,3.5,591,Kurorak,PRS 6,6.0,653,Kuro My Nitro,FTR 8+,8.7,921,N/A,,,,Light,175,1.6.6,18/6/22,N/A,,
Maze No.9,アリスシャッハと魔法の楽団,Luminous Sky ,小東星,PST 3,3.0,494,小東星,PRS 3,3.5,445,小東星,FTR 8+,8.9,775,N/A,,,,Light,159,1.7.0,18/7/16,N/A,,✓
Sulfur,ぺのれり,Luminous Sky ,Shirorak,PST 4,4.0,458,Shirorak,PRS 6,6.0,608,Shirorak,FTR 9+,9.7,"1,045",N/A,,,,Light,182,1.7.0,18/7/16,N/A,,✓
The Message,Jun Kuroda,Luminous Sky ,Toaster,PST 3,3.0,536,Toaster,PRS 6,6.5,630,Toaster,FTR 9+,9.7,992,N/A,,,,Light,202,1.7.0,18/7/16,N/A,,✓
Halcyon,xi,Luminous Sky ,東星※太陽,PST 5,5.5,662,東星※太陽,PRS 8,8.2,943,東星※太陽,FTR 10+,10.7,"1,227",N/A,,,,Light,191,1.7.0,18/7/16,N/A,,
Ether Strike,Akira Complex,Luminous Sky ,Zero Sky,PST 5,5.5,659,Zero Sky,PRS 8,8.3,837,Zero Sky,FTR 10,10.3,"1,170",N/A,,,,Light,156,1.7.0,18/7/16,N/A,,✓
Fracture Ray,Sakuzyo,Luminous Sky ,Volatile Paradox,PST 6,6.0,983,Absolute Paradox,PRS 9,9.5,"1,343",Paradox Zero,FTR 11,11.3,"1,279",N/A,,,,Light,200,1.7.0,18/7/16,N/A,,✓
Suomi,Aire,Arcaea,Toastie,PST 2,2.0,368,Toastie,PRS 5,5.0,550,Toastie,FTR 7+,7.8,818,CERiNG,ETR 8+,8.9,732,Light,125,1.7.0,18/7/16,5.4.0,24/3/8,
"Bookmaker
(2D Version)",Kobaryo,Arcaea,Kurorak,PST 4,4.5,538,Kurorak,PRS 6,6.5,728,Kurorak,FTR 8,8.3,"1,124",Toastmaker,BYD 10,10.0,"1,287",Conflict,175,1.7.0,18/7/16,3.6.4,21/6/30,
Illegal Paradise,"gmtn.
(witch's slave)",Arcaea,k//eternal,PST 2,2.0,535,k//eternal,PRS 7,7.0,585,k//eternal + nitro,FTR 9,9.5,"1,061",N/A,,,,Conflict,168,1.7.0,18/7/16,N/A,,
Nhelv,Silentroom,Arcaea,"Nitro
「Katastrophe」",PST 3,3.0,647,"Nitro
「Katastrophe」",PRS 6,6.5,913,"Nitro
「Katastrophe」",FTR 9+,9.9,"1,108",N/A,,,,Conflict,174.59,1.7.2,18/8/13,N/A,,
dropdead,Frums,Memory Archive: Original,-chartaesthesia- LIMITER:10%,PST 1,1.5,44,-chartaesthesia- LIMITER:100%,PRS 9,9.5,"1,323",-chartaesthesia- LIMITER:25% (OVERDRIVE:+100%),FTR 8+,9.1,823,N/A,,,,Conflict,50,1.7.2,18/8/13,N/A,,✓
Fallensquare,Silentroom,Memory Archive: Original,Haruba,PST 3,3.0,316,Haruba,PRS 7,7.5,486,Haruba,FTR 9,9.6,703,N/A,,,,Conflict,99,1.7.2,18/8/13,N/A,,✓
LunarOrbit -believe in the Espebranch road-,Apo11o program feat. 大瀬良あい,Arcaea,月刊Toaster,PST 3,3.5,624,月刊Toaster,PRS 6,6.0,757,週刊Toaster,FTR 9,9.6,"1,058",N/A,,,,Conflict,192,1.7.4,18/8/31,N/A,,✓
Purgatorium,お月さま交響曲,Arcaea,Kurorak,PST 2,2.5,609,Kurorak,PRS 6,6.0,641,Kurorak,FTR 8,8.4,983,Toaster,BYD 9,9.6,"1,051",Conflict,150,1.7.5,18/9/17,3.1.0,20/8/21,✓
Alexandrite,WAiKURO,Memory Archive: Original,東星※空の宝石,PST 4,4.5,507,東星※空の宝石,PRS 7,7.5,699,東星※空の宝石,FTR 10,10.0,"1,040",N/A,,,,Conflict,146,1.7.5,18/9/17,N/A,,✓
Hall of Mirrors,Sta,Tone Sphere,Toaster,PST 3,3.0,535,Toaster,PRS 5,5.5,553,Toaster,FTR 8,8.2,898,N/A,,,,Conflict,147,1.8.0,18/10/7,N/A,,
Hikari,THB,Tone Sphere,OptoNuke,PST 2,2.5,237,OptoNuke,PRS 6,6.0,450,OptoNuke,FTR 8,8.1,684,N/A,,,,Conflict,130,1.8.0,18/10/7,N/A,,
STAGER (ALL STAGE CLEAR),Ras,Tone Sphere,KURORAK,PST 3,3.0,453,KURORAK,PRS 6,6.5,559,KURORAK,FTR 9,9.5,"1,004",N/A,,,,Light,145,1.8.0,18/10/7,N/A,,
Linear Accelerator,THE SHAFT,Tone Sphere,THE TOAST,PST 2,2.5,438,THE TOAST,PRS 6,6.5,488,THE TOAST,FTR 9+,9.8,905,N/A,,,,Light,"200-
211.9",1.8.0,18/10/7,N/A,,
Tiferet,xi + Sta,Tone Sphere,夜浪[Spherical],PST 4,4.5,450,夜浪[Spherical],PRS 7+,7.8,720,夜浪[Spherical],FTR 10,10.4,"1,086",N/A,,,,Conflict,140?,1.8.0,18/10/7,N/A,,
Rugie,"Feryquitous
feat. Sennzai",Arcaea,k//urorak,PST 3,3.0,566,k//urorak,PRS 6,6.0,754,k//urorak,FTR 9,9.2,975,N/A,,,,Conflict,191,1.8.1,18/11/8,N/A,,
Astral tale,Noah,Memory Archive: Original,Nitro,PST 4,4.5,445,Nitro,PRS 7,7.0,642,Nitro,FTR 9,9.6,884,N/A,,,,Conflict,134,1.8.1,18/11/8,N/A,,✓
Phantasia,Yunosuke,Memory Archive: Partner,Toaster,PST 4,4.0,544,Toaster,PRS 5,5.5,579,Toaster,FTR 9,9.2,952,N/A,,,,Light,153,1.8.2,18/11/29,N/A,,✓
Empire of Winter,Street,Memory Archive: Partner,0°Nitro,PST 3,3.5,484,0°Nitro,PRS 6,6.5,662,0°Nitro,FTR 9,9.0,920,N/A,,,,Light,175,1.8.3,18/12/22,N/A,,✓
MERLIN,REDALiCE,Groove Coaster,Got More Taro?,PST 3,3.0,315,Got More Taro?,PRS 5,5.5,428,Got More Taro?,FTR 8+,8.9,712,EXSCHWASiON,BYD 9,9.4,881,Light,180,1.9.0,19/1/9,3.12.4,22/3/23,
